measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1990,6396154.74,7990295.899,5176250.769
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1990,6063705.073,7476887.648,4939095.543
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1991,6563615.023,8189306.827,5307334.932
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1991,6247642.436,7688742.594,5087465.558
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1992,6740371.167,8398691.416,5451151.686
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1992,6435600.886,7908623.87,5235006.515
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1993,6924422.887,8615991.58,5603729.412
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1993,6626372.059,8131761.132,5386242.635
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1994,7123044.308,8851469.193,5769142.452
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1994,6825051.659,8363219.625,5556339.093
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1995,7335466.264,9101618.438,5940421.27
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1995,7032790.801,8613762.783,5735591.202
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1996,7570618.319,9406305.674,6138953.83
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1996,7249969.463,8895320.356,5907131.534
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1997,7822519.764,9700795.972,6346933.681
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1997,7472606.067,9189855.059,6080122.934
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1998,8082502.904,10003262.16,6568518.874
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1998,7702489.621,9494264.95,6266623.319
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,1999,8353744.019,10317851.31,6797853.411
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,1999,7941015.935,9794473.483,6466731.478
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2000,8620073.235,10665174.81,7009962.642
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2000,8182013.128,10083396.17,6674011.957
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2001,8870062.387,10954149.63,7229179.226
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2001,8430482.847,10384940.29,6877000.229
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2002,9091671.58,11222979.5,7408334.2
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2002,8680821.462,10696203.24,7088692.568
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2003,9302469.498,11480472.51,7583628.335
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2003,8936707.402,10993575.27,7306805.305
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2004,9533327.891,11766926.87,7765835.055
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2004,9203128.717,11314166.58,7532399.25
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2005,9801390.693,12113657.59,7981317.471
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2005,9487505.982,11663007.19,7777922.697
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2006,10133186.73,12512762.05,8252183.479
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2006,9798063.118,12049000.84,8021957.835
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2007,10499944.33,12957128,8552760.559
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2007,10127289.66,12460226.3,8280472.055
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2008,10879164.26,13416061.19,8864463.588
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2008,10472285.78,12868470.38,8568046.486
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2009,11269529.79,13900754.2,9186786.65
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2009,10836809.91,13300051.9,8879196.534
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2010,11644474.38,14338691.65,9488132.624
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2010,11222299.37,13760164.74,9199419.475
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2011,12025374.08,14841979.67,9791170.185
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2011,11637887.02,14276820.3,9514778.611
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2012,12403286.22,15348169.24,10102226.16
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2012,12072602.5,14833911.57,9844833.32
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2013,12779314.76,15852482.31,10391497.16
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2013,12530507.42,15404650.52,10200210.04
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2014,13189746.48,16376708.6,10702764.91
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2014,13016454.64,16046755.5,10589452.89
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2015,13603018.2,16902603.63,11033351.85
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2015,13507595.22,16683088.07,10988508.45
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2016,14112550.54,17507862.97,11452662.05
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2016,14045566.1,17288027.73,11430312.85
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2017,14628673.16,18098525.46,11869213.26
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2017,14589088.34,17904743.92,11876675.48
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2018,15115153.28,18733883.42,12267315.36
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2018,15289824.55,18790428.37,12474671.57
Prevalence,Asia,Male,All ages,All causes,Heart failure,Number,2019,15647702.25,19408030.28,12683003.65
Prevalence,Asia,Female,All ages,All causes,Heart failure,Number,2019,16242634.78,20025893.11,13216423.76